SiteID,Sitename2,Sitename3,WA_County,Lat,Long,LCC_E_km,LCC_N_km,AP3_XCell,AP3_YCell,AP4_XCell,AP4_YCell
90402,Medicine_Hat,,,50.0492,-110.6814,713.8755726,159.0242587,88,93,264,276
90502,Lethbridge,,,49.7164,-112.8006,571.5067697,106.4004079,77,89,229,263
100060,Trail_Aquatic_Centre,,,49.0956,-117.6972,233.302141,15.09871513,48,81,144,240
100110,Kensington_Park,,,49.2794,-122.9711,-138.7724588,31.77259966,17,83,51,244
100111,Rocky_Point_Park,,,49.28083,-122.84917,-130.1861752,31.72164238,18,83,53,244
100118,Kitsilano,,,49.26167,-123.16333,-152.3545418,30.21463695,16,83,48,244
100119,Burnaby_South,,,49.21528,-122.98556,-139.9614079,24.89945852,17,82,51,242
100304,Victoria_Topaz,,,48.4292,-123.3583,-168.7190302,-58.9036642,15,75,44,221
100701,Kelowna_College,,,49.8611,-119.475,106.1768799,93.70387268,38,88,113,259
101003,Abbotsford,,,49.04278,-122.30972,-92.63067484,5.360274816,21,80,63,237
101101,Chilliwack,,,49.15611,-121.94056,-66.37980963,17.18647913,23,81,69,240
101301,Langley,,,49.09556,-122.56694,-110.7094302,11.36478418,20,81,58,239
101601,Squamish,,,49.7064,-123.1544,-150.4375973,78.05615756,16,87,48,256
101801,Creston_PC_School,,,49.0944,-116.5125,316.9177614,19.04086439,55,82,165,241
102001,Saturna,,,48.7833,-123.1333,-151.6114037,-21.29036961,16,78,48,231
102102,Nanaimo_Labieux_Road,,,49.2008,-123.9939,-211.0696347,25.55260712,11,82,33,242
102801,Elk_Falls_Dogwood,,,50.0167,-125.2472,-294.698222,117.2729496,4,90,12,265
104003,Vernon_Science_Centre,,,50.2333,-119.2833,118.6620899,134.0656518,39,91,116,270
104101,Grand_Forks_City_Hall,,,49.0311,-118.4392,181.1313868,6.243050902,44,81,131,238
105001,Whistler_Meadow_Park,,,50.1439,-122.9611,-135.7883586,124.8224953,18,90,52,267
105604,Osoyoos_Canada_Customs,,,49,-119.4625,108.8270932,1.045024212,38,80,113,236
20130002,Sand_Point_Simeonof,SPS,,,,,,,,,
20200018,Anchorage_Trinity,AncT,,,,,,,,,
20900010,Fairbanks_SB,FbS,,,,,,,,,
21220009,Tuxedni,Txd,,,,,,,,,
21700011,Trapper_Creek,TrC,,,,,,,,,
21889000,Ambler,Amb,,,,,,,,,
22809000,Petersburg,PtB,,,,,,,,,
22900003,Denali_NP,Den,,,,,,,,,
30000000,Ebeys_Landing,Eby,Island,48.189169,-122.666913,-119.8012307,-85.94551628,19,73,56,215
30000001,Gold_Bar,,,47.868567,-121.716762,-51.82528434,-121.4171833,25,70,73,206
30000002,Huckleberry_Creek,,,47.065576,-121.587963,-43.14620815,-207.7528596,25,63,75,184
30000003,Kendell_Creek,,,48.496768,-122.211619,-86.58171833,-53.46879531,22,76,64,223
30000004,Wickersham,,,48.669535,-122.249711,-89.01354574,-34.85109161,22,77,64,227
60070002,Chico,,,39.7575,-121.8422,-70.06279212,-992.8043619,23,-2,68,-11
60070007,Paradise,,,39.7564,-121.6044,-50.28150582,-993.1016529,25,-2,73,-11
60072001,Paradise,,,39.7539,-121.6244,-51.94742289,-993.3583428,25,-2,73,-11
60150002,RedwoodNP_IMPROVE,,,41.5608,-124.0839,-249.0154601,-794.2465636,8,14,24,37
60231004,Jacobs,,,40.776943,-124.177498,-259.9153971,-878.2134849,7,7,21,16
60631007,Chester_BAM,,,40.301899,-121.235001,-19.37794157,-934.4895338,27,2,81,2
60639901,Quincy_BAM,,,39.9369,-120.9478,4.330002263,-973.8372446,29,0,87,-6
60890004,Redding,,,40.5497,-122.3792,-113.2622909,-906.8587009,20,4,58,9
60890007,Anderson,,,40.4531,-122.2978,-106.7467847,-917.3700846,20,4,59,7
60890009,Shasta_Lake_City,,,40.6894,-122.4024,-114.903891,-891.7886649,19,6,57,13
60893003,Lassen_Volcanic_IMPROVE,,,40.5403,-121.5764,-47.34418439,-908.6759413,25,4,74,9
60930005,Lava_Beds_IMPROVE,,,41.7117,-121.5068,-40.82967915,-782.6882397,26,15,76,40
61030005,Red_Bluff_Oak_Street,,,40.17572,-122.237045,-102.2115411,-947.3189821,20,1,60,0
61030006,Red_Bluff_Main_Street,,,40.167881,-122.226646,-101.3653229,-948.1765198,21,1,61,0
61050002,Weaverville,,,40.734722,-122.941109,-158.9166176,-885.9899362,16,6,46,15
61059000,Trinity_IMPROVE,,,40.7864,-122.8046,-147.6173599,-880.6904671,17,7,49,16
100000001,Abbotsford_Airport,,,49.03027778,-122.3772222,-97.42748414,4.095489914,21,80,62,237
100000002,Abbotsford_Central,,,49.04277778,-122.2263889,-86.73751681,5.266686188,22,80,64,237
100000003,Grand_Forks,,,49.03111111,-118.4391667,181.1337031,6.244320935,44,81,131,238
100000004,Trail,,,49.09555556,-117.6955,233.4223542,15.09889291,48,81,144,240
100000006,Langford,,,48.46583333,-123.5075,-179.2664633,-54.64250173,14,75,41,222
100000007,North_Delta,,,49.15833333,-122.9016667,-134.1944825,18.6296494,18,82,52,241
100000008,Surrey,,,49.13277778,-122.6933333,-119.5535523,15.55031936,19,81,56,240
100000009,Richmond_South,,,49.14166667,-123.1080556,-148.802697,17.20159094,17,81,49,240
100000010,Chilliwack,,,49.15611111,-121.9405556,-66.37949771,17.18659491,23,81,69,240
100000011,Langley,,,49.09611111,-122.5663889,-110.6693381,11.42330846,20,81,58,239
100000012,Kelowna,,,49.86111111,-119.475,106.1768571,93.70506911,38,88,113,259
100000013,Victoria_Topaz,,,48.44166667,-123.3633333,-169.0394594,-57.553262,15,75,44,222
100000014,Vernon,,,50.23333333,-119.2833333,118.6597114,134.0691936,39,91,116,270
100000015,Osoyoos,,,49,-119.4625,108.8270932,1.045024212,38,80,113,236
100000016,Pitt_Meadows,,,49.24527778,-122.7091667,-120.4128299,27.67735671,19,82,56,243
100000017,Vancouver_Airport,,,49.18638889,-123.1525,-151.8098025,22.09570124,16,82,48,242
100000018,Hope,,,49.36972222,-121.4994444,-35.10534375,39.89489133,26,83,77,246
100000088,Creston_PC_School,,,49.0944,-116.5125,316.9177614,19.04086439,55,82,165,241
100000098,Esquimalt_Graving_Dock,,,48.436944,-123.588333,-185.1438073,-57.56308072,14,75,40,222
100000108,Tsawwassen,,,49.0099,-123.082,-147.3325623,2.980952583,17,80,49,237
123456789,Mt_Bachelor,,,43.979,-121.687,-53.25692513,-539.02752,25,35,73,101
160010009,Boise_Fire_Station,,,43.618889,-116.213611,373.1392918,-566.760935,60,33,179,94
160010010,Meridian,,,43.60029,-116.3478258,362.8040517,-569.3713473,59,33,177,94
160010014,Boise_Eastman,,,43.616379,-116.203817,373.9180395,-566.9842571,60,33,179,94
160010017,Boise_White_Pine,,,43.57764175,-116.1780935,376.1714255,-571.0155317,60,32,180,93
160010019,Boise_State_St,,,43.63458575,-116.2339175,371.4578297,-565.1730021,60,33,179,95
160050004,Pocatello_SO2,,,42.916389,-112.515833,668.5482239,-617.90229,85,29,253,82
160050015,Pocatello,,,42.87670825,-112.4602978,673.361601,-621.6750317,85,28,254,81
160090010,StMaries,,,47.3166925,-116.5702978,323.4082389,-171.9906371,56,66,167,193
160090011,Plummer,,,47.3386,-116.885902,300.2664728,-170.8701087,54,66,161,193
160130004,Ketchum,,,43.68253925,-114.3711283,515.9284553,-549.7127715,72,34,215,99
160150001,Idaho_City,,,43.82308,-115.8385893,400.9239382,-543.0670347,62,35,186,100
160150002,Garden_Valley,,,44.10442525,-115.972245,388.6601723,-513.5831296,61,37,183,108
160170005,Sandpoint,,,48.2710265,-116.6076,315.064223,-69.74844335,55,74,165,219
160190011,Idaho_Falls,,,43.46740425,-112.0514595,698.3915009,-555.1121658,87,34,261,97
160210002,Bonners_Ferry_Kootenai_Tr,,,48.705551,-116.368965,329.4616741,-22.14092921,56,78,168,230
160230101,CratersOMoon_IMPROVE,,,43.4605,-113.5551,581.4810911,-567.8691266,77,33,231,94
160270002,Nampa,,,43.58030175,-116.5627735,346.17763,-572.4658327,58,32,173,93
160270004,Nampa1,NNC,,,,,,,,,
160871004,Weiser,,,44.261694,-116.979172,310.0478894,-501.1211553,55,38,164,111
160290030,Soda_Springs,,,42.65167,-111.61472,742.5716062,-638.2207187,91,27,272,76
160290031,Soda_Springs_SO2,,,42.695278,-111.593889,743.6630398,-633.3747931,91,27,272,78
160310001,City_of_Rocks_NR,,,42.028889,-113.729164,581.8718753,-722.2784294,77,20,231,55
160370002,Sawtooth_IMPROVE,,,44.1705,-114.9271,468.77375,-500.9100326,68,38,203,111
160410001,Franklin,,,42.01333,-111.8092,735.110018,-708.1494719,90,21,270,59
160490002,Grangeville,,,45.931323,-116.1152165,365.6644934,-318.5342848,59,53,177,156
160490003,Kamiah,,,46.2094,-116.027496,370.3697913,-288.3361483,60,56,179,164
160550003,Lancaster,,,47.7889025,-116.804425,303.6735489,-122.250552,54,70,162,205
160550006,Coeur_dAlene,,,47.682315,-116.767,306.9850918,-133.5444795,55,69,163,203
160570005,Moscow,,,46.72663225,-116.9557428,298.49216,-236.7683464,54,60,161,177
160590004,Salmon,,,45.17949925,-113.8923235,538.8518554,-386.4573962,74,48,221,139
160590007,Salmon_NF,Slm,,,,,,,,,
160690012,Lewiston,,,46.40846375,-116.9916848,297.5512886,-271.0204157,54,57,160,168
160690013,Lapwai,,,46.397202,-116.806198,311.3716094,-271.5225087,55,57,164,168
160690014,Reubens,,,46.3349,-116.535797,331.8003116,-277.1153228,57,57,169,167
160790017,Pinehurst,,,47.5363975,-116.2367015,346.3326563,-147.0329415,58,68,173,199
160830010,Twin_Falls,,,42.563993,-114.4461853,519.9231491,-669.9229703,72,24,216,69
160830011,Paul_Elementary,,,42.607575,-113.785297,571.7954583,-660.7518156,77,25,229,71
160850002,McCall,,,44.89694925,-116.0970523,373.81779,-429.2701939,60,44,179,129
200000001,Ocean_1,,,47.1573,-124.853531,-282.2011966,-191.2671551,5,64,15,188
200000002,Ocean_2,,,47.942635,-125.291289,-309.7096461,-105.3871876,3,71,9,210
200000003,Ocean_3,,,46.609739,-125.11123,-304.0751269,-249.0513193,4,59,10,174
200000004,Ocean_4,,,46.07519,-125.035378,-301.3612254,-306.6527948,4,54,11,159
200000005,Ocean_5,,,48.607841,-125.136296,-294.840744,-34.56210608,4,77,12,227
300298001,Glacier_NP,,,48.5103,-113.9956,499.7847251,-30.79175662,71,77,211,228
300299001,Glacier_IMPROVE,,,48.5105,-113.9966,499.7116754,-30.77657623,71,77,211,228
300351001,Glacier_NP_Portable,,,48.740799,-113.4347,537.3530017,-2.473638241,74,80,220,235
300479000,Flathead_IMPROVE,,,47.7734,-114.269,486.9752338,-111.3918601,70,71,208,208
300490026,ROSSITER_SCHOOL,,,46.6588,-112.0131,662.9962885,-214.3417498,84,62,252,182
300499000,GatesOMntns_IMPROVE,,,46.8262,-111.7107,683.125885,-193.9413355,86,64,257,188
300530018,Libby_Courthouse,,,48.3841,-115.548,390.1354327,-52.9484276,62,76,184,223
300779000,Monture_IMPROVE,,,47.1222,-113.1544,574.219011,-173.6712787,77,66,230,193
300819000,Sula_Peak_IMPROVE,,,45.8598,-114.0001,524.3255094,-314.4341732,73,54,217,157
300899000,Cabinet_Mtns_IMPROVE,,,47.9549,-115.6709,384.4226987,-99.57234448,61,72,182,211
320079000,Jarbidge_IMPROVE,,,41.8926,-115.4261,447.341313,-747.7902867,66,18,198,49
300930005,Butte,,,46.002602,-112.501247,634.5877608,-288.3272652,82,56,245,164
300490004,Sieben_Flats,,,46.8505,-111.987164,662.589145,-193.6725073,84,64,252,188
410010004,Baker_City,,,44.7882,-117.844597,241.1269725,-447.6406629,49,43,146,124
410030013,Corvallis,,,44.588402,-123.263,-173.5599296,-471.3858222,15,41,43,118
410050004,Carus,,,45.2593,-122.588,-120.3710095,-400.6336915,19,47,56,136
410050010,MtHood_IMPROVE,,,45.2888,-121.7837,-59.37671214,-398.3705267,24,47,71,136
410050102,Multorpor,,,45.28856,-121.7827,-59.30120181,-398.3970271,24,47,71,136
410090004,Sauvie_Island,,,45.768575,-122.771947,-133.1023129,-345.6901359,18,51,53,150
410111036,CTCLUSI_Radar_Hill,,,43.381943,-124.263885,-255.5653833,-598.150686,8,30,22,86
410130100,Prineville,,,44.299599,-120.844704,11.9720811,-504.8280681,30,38,89,110
410170004,Sisters,,,44.292099,-121.555496,-42.82957372,-505.4961817,25,38,75,110
410170120,Bend,Bnd,,44.0639,-121.3125,-24.18997077,-530.0944668,27,36,80,103
410190002,Roseburg,,,43.226639,-123.367203,-185.8717055,-617.290428,14,29,40,82
410230002,John_Day,,,44.417999,-118.951302,157.595913,-490.1136166,42,39,125,113
410250003,Burns,,,43.589298,-119.048302,152.304326,-579.2391653,42,32,124,91
410290019,Shady_Cove,,,42.6233,-122.8103,-143.6178037,-683.22044,17,23,50,65
410290133,Medford,Mdf,,42.320975,-122.878775,-149.8114373,-715.569958,17,20,49,57
410311034,Warm_Springs,,,44.7639,-121.2694,-20.60085506,-454.9667315,27,42,81,122
410330010,Kalmiopsis_IMPROVE,,,42.552,-124.0589,-242.9281133,-687.8629988,9,23,25,64
410330011,Provolt,,,42.289722,-123.232498,-178.1038263,-718.2029025,14,20,41,56
410330036,Cave_Junction,,,42.161701,-123.648399,-211.7273927,-730.9420746,11,19,33,53
410330114,Grants_Pass,,,42.4342,-123.348297,-186.8841197,-702.4203541,13,21,39,60
410350004,Klamath_Falls,KlF,,42.190201,-121.7313,-58.44596489,-731.1145422,24,19,71,53
410358001,Crater_Lk_IMPROVE,,,42.8958,-122.1361,-89.72028505,-654.9348088,22,25,64,72
410370001,Lakeview,,,42.1894,-120.354027,51.62742869,-731.2592814,33,19,99,53
410390060,Eugene,Eug,,44.0263675,-123.0826,-161.2967363,-532.0728533,16,36,46,103
410390070,Three_Sisters_IMPROVE,,,44.291,-122.0434,-80.44760857,-505.2385028,22,38,66,110
410391007,Eugene_Saginaw,,,43.8328,-123.0358,-158.201257,-552.9402493,16,34,46,98
410392013,Oakridge,,,43.7444,-122.4806,-115.2382274,-563.3770416,19,33,57,95
410430009,Albany,,,44.6157,-123.0916,-160.3410415,-468.8141944,16,41,46,119
410432002,Sweet_Home,,,44.3958,-122.7299,-133.128059,-493.0746991,18,39,53,113
410470004,Salem,,,44.809,-122.914,-146.233,-448.4124,17,43,49,124
410470041,Salem,,,44.9431,-123.005913,-152.893313,-433.8513002,16,44,48,128
410510080,Portland_SEL,,,45.496675,-122.6028813,-120.9887783,-375.1374647,19,49,56,142
410510087,Portland_Postal,,,45.5193,-122.6748,-126.3657791,-372.5983673,18,49,54,143
410510246,Portland_NR,,,45.5613,-122.6679,-125.7513268,-368.1020348,19,49,55,144
410590121,Pendleton,,,45.65212425,-118.8232315,163.8440823,-357.4354843,43,50,127,147
410591003,Hermiston_Airport,,,45.82889,-119.263306,130.3142182,-339.2753389,40,52,119,151
410610010,Starkey_IMPROVE,,,45.2249,-118.5129,188.61986,-402.5897981,45,46,133,135
410610119,La_Grande_OR,,,45.33902325,-118.0952,219.84067,-389.281708,47,48,141,139
410630001,Enterprise,,,45.426306,-117.2967,279.8009687,-377.4292876,52,49,156,142
410630002,Hells_Canyon_IMPROVE,,,44.9702,-116.8438,316.5309169,-424.6399361,55,45,165,130
410650007,The_Dalles,,,45.6024015,-121.2033655,-15.3226286,-364.9807756,28,50,82,145
410670004,Hillsboro,,,45.52853,-122.972443,-148.7947125,-371.0964016,17,49,49,143
410670111,Beaverton,,,45.4702,-122.815975,-137.1353904,-377.6350365,18,49,52,142
